,Sr No.,"Date of
Encashment",Name of the Political Party,"Account no. of
Political Party",Prefix,"Bond
Number",Denominations,"Pay Branch
Code",Pay Teller
8,83,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5839,10000000,691,3627829
9,84,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5841,10000000,691,3627829
10,85,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5813,10000000,691,3627829
11,86,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5833,10000000,691,3627829
12,87,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4327,10000000,691,3627829
13,88,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4311,10000000,691,3627829
14,89,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4347,10000000,691,3627829
15,90,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4317,10000000,691,3627829
16,91,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5809,10000000,691,3627829
17,92,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5855,10000000,691,3627829
18,93,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4333,10000000,691,3627829
19,94,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4335,10000000,691,3627829
20,95,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4337,10000000,691,3627829
21,96,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4343,10000000,691,3627829
22,97,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4295,10000000,691,3627829
23,98,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4331,10000000,691,3627829
24,99,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5819,10000000,691,3627829
25,100,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5853,10000000,691,3627829
26,101,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5857,10000000,691,3627829
27,102,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4349,10000000,691,3627829
28,103,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5803,10000000,691,3627829
29,104,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5849,10000000,691,3627829
30,105,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4299,10000000,691,3627829
31,106,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4329,10000000,691,3627829
32,107,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4315,10000000,691,3627829
33,108,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4339,10000000,691,3627829
34,109,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5835,10000000,691,3627829
35,110,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5807,10000000,691,3627829
36,111,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5811,10000000,691,3627829
0,112,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4309,10000000,691,3627829
1,113,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4341,10000000,691,3627829
2,114,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5815,10000000,691,3627829
3,115,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4345,10000000,691,3627829
4,116,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5851,10000000,691,3627829
5,117,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4297,10000000,691,3627829
6,118,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5845,10000000,691,3627829
7,119,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4307,10000000,691,3627829
8,120,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4323,10000000,691,3627829
9,121,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5859,10000000,691,3627829
10,122,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5823,10000000,691,3627829
11,123,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5856,10000000,691,3627829
12,124,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5868,10000000,691,3627829
13,125,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5870,10000000,691,3627829
14,126,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5846,10000000,691,3627829
15,127,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5866,10000000,691,3627829
16,128,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5848,10000000,691,3627829
17,129,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5852,10000000,691,3627829
18,130,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5874,10000000,691,3627829
19,131,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5872,10000000,691,3627829
20,132,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5850,10000000,691,3627829
21,133,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5858,10000000,691,3627829
22,134,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5864,10000000,691,3627829
23,135,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5862,10000000,691,3627829
24,136,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5860,10000000,691,3627829
25,137,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5854,10000000,691,3627829
26,138,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5818,10000000,691,3627829
27,139,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5840,10000000,691,3627829
28,140,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5844,10000000,691,3627829
29,141,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5836,10000000,691,3627829
30,142,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5820,10000000,691,3627829
31,143,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5828,10000000,691,3627829
32,144,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5832,10000000,691,3627829
33,145,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5842,10000000,691,3627829
34,146,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5830,10000000,691,3627829
35,147,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5834,10000000,691,3627829
36,148,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5824,10000000,691,3627829
0,149,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5822,10000000,691,3627829
1,150,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5826,10000000,691,3627829
2,151,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5838,10000000,691,3627829
3,152,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5802,10000000,691,3627829
4,153,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4342,10000000,691,3627829
5,154,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4334,10000000,691,3627829
6,155,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5804,10000000,691,3627829
7,156,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4340,10000000,691,3627829
8,157,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4348,10000000,691,3627829
9,158,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4346,10000000,691,3627829
10,159,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4330,10000000,691,3627829
11,160,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4344,10000000,691,3627829
12,161,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4338,10000000,691,3627829
13,162,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4332,10000000,691,3627829
14,163,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4336,10000000,691,3627829
15,164,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5806,10000000,691,3627829
16,165,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4350,10000000,691,3627829
17,166,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6603,10000000,691,3627829
18,167,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5886,10000000,691,3627829
19,168,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5896,10000000,691,3627829
20,169,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5890,10000000,691,3627829
21,170,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5888,10000000,691,3627829
22,171,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6609,10000000,691,3627829
23,172,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5882,10000000,691,3627829
24,173,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6607,10000000,691,3627829
25,174,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6611,10000000,691,3627829
26,175,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5892,10000000,691,3627829
27,176,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5894,10000000,691,3627829
28,177,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6605,10000000,691,3627829
29,178,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5885,10000000,691,3627829
30,179,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5871,10000000,691,3300196
31,180,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5875,10000000,691,3627829
32,181,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5873,10000000,691,3627829
33,182,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,2588,10000000,691,3300196
34,183,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,2793,10000000,691,3300196
35,184,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,2810,10000000,691,3300196
36,185,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4488,10000000,691,3300196
0,186,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5148,10000000,691,3300196
1,187,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4432,10000000,691,3300196
2,188,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5173,10000000,691,3300196
3,189,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5107,10000000,691,3300196
4,190,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5101,10000000,691,3300196
5,191,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5211,10000000,691,3300196
6,192,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5102,10000000,691,3300196
7,193,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5130,10000000,691,3300196
8,194,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5149,10000000,691,3300196
9,195,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5216,10000000,691,3300196
10,196,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5213,10000000,691,3300196
11,197,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5151,10000000,691,3300196
12,198,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5215,10000000,691,3300196
13,199,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5214,10000000,691,3300196
14,200,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5103,10000000,691,3300196
15,201,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5128,10000000,691,3300196
16,202,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5105,10000000,691,3300196
17,203,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5212,10000000,691,3300196
18,204,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5126,10000000,691,3300196
19,205,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5150,10000000,691,3300196
20,206,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5142,10000000,691,3300196
21,207,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5127,10000000,691,3300196
22,208,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5144,10000000,691,3300196
23,209,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5106,10000000,691,3300196
24,210,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5123,10000000,691,3300196
25,211,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5146,10000000,691,3300196
26,212,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5147,10000000,691,3300196
27,213,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5108,10000000,691,3300196
28,214,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5124,10000000,691,3300196
29,215,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5121,10000000,691,3300196
30,216,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5143,10000000,691,3300196
31,217,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5145,10000000,691,3300196
32,218,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5109,10000000,691,3300196
33,219,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5129,10000000,691,3300196
34,220,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5104,10000000,691,3300196
35,221,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5192,10000000,691,3627829
36,222,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4433,10000000,691,3300196
0,223,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5110,10000000,691,3300196
1,224,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5122,10000000,691,3300196
2,225,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,5125,10000000,691,3300196
3,226,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,740,10000000,691,3300196
4,227,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,742,10000000,691,3300196
5,228,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,744,10000000,691,3300196
6,229,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6217,10000000,691,3300196
7,230,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6221,10000000,691,3300196
8,231,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6233,10000000,691,3300196
9,232,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6241,10000000,691,3300196
10,233,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6247,10000000,691,3300196
11,234,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6214,10000000,691,3300196
12,235,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6238,10000000,691,3300196
13,236,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4592,10000000,691,3300196
14,237,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6203,10000000,691,3300196
15,238,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6231,10000000,691,3300196
16,239,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6227,10000000,691,3300196
17,240,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4574,10000000,691,3300196
18,241,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6207,10000000,691,3300196
19,242,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6211,10000000,691,3300196
20,243,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6243,10000000,691,3300196
21,244,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6225,10000000,691,3300196
22,245,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6245,10000000,691,3300196
23,246,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6230,10000000,691,3300196
24,247,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6204,10000000,691,3300196
25,248,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4582,10000000,691,3300196
26,249,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4584,10000000,691,3300196
27,250,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6222,10000000,691,3300196
28,251,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6232,10000000,691,3300196
29,252,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6246,10000000,691,3300196
30,253,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6248,10000000,691,3300196
31,254,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6206,10000000,691,3300196
32,255,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6210,10000000,691,3300196
33,256,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6228,10000000,691,3300196
34,257,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6242,10000000,691,3300196
35,258,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6215,10000000,691,3300196
36,259,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6216,10000000,691,3300196
0,260,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6236,10000000,691,3300196
1,261,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6202,10000000,691,3300196
2,262,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6249,10000000,691,3300196
3,263,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6218,10000000,691,3300196
4,264,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6224,10000000,691,3300196
5,265,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4585,10000000,691,3300196
6,266,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6229,10000000,691,3300196
7,267,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4575,10000000,691,3300196
8,268,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6223,10000000,691,3300196
9,269,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6250,10000000,691,3300196
10,270,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4594,10000000,691,3300196
11,271,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6201,10000000,691,3300196
12,272,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6205,10000000,691,3300196
13,273,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,6208,10000000,691,3300196
14,274,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4561,10000000,691,3300196
15,275,2019-04-12,BHARATIYA JANATA PARTY,*******8244,OC,4595,10000000,691,3300196
